"exped","ubic","numextubi","numintubi","colubi"
"1018019","RIO PANUCO OTE","449","","DEL VALLE"
"1018020","RIO SAN LORENZO","442","","DEL VALLE"
"1018021","RIO PANUCO OTE","451","","DEL VALLE"
"1018022","RIO SAN LORENZO","490","","DEL VALLE"
"1018024","RIO SAN LORENZO","492","","DEL VALLE"
"1018032","AV RIO SAN LORENZO 406 DEL VALLE","","",""
"1018033","RIO SAN LORENZO","408","","DEL VALLE"
"1018034","RIO PANUCO","453","","DEL VALLE"
"1018035","RIO SAN LORENZO","430","","DEL VALLE"
"1018036","RIO SAN LORENZO 440","","","DEL VALLE"
"1018037","AV GOMEZ MORIN Y SAN LORENZO","494","","DEL VALLE"
"1018101","RIO PANUCO","445","1","DEL VALLE"
"1018102","RIO PANUCO","445","DEP-2","DEL VALLE"
"1018103","RIO PANUCO","445","3","DEL VALLE"
"1018104","RIO PANUCO","445","DEP 4","DEL VALLE"
"1018105","RIO PANUCO 445 DEP-5","","","DEL VALLE"
"1018106","RIO PANUCO","445","D 6","DEL VALLE"
"1018107","PANUCO","425","1","DEL VALLE"
"1018108","PANUCO","425","2","DEL VALLE"
"1018109","PANUCO","425","3","DEL VALLE"
"1018110","PANUCO","425","4","DEL VALLE"
"1018111","PANUCO","425","5","DEL VALLE"
"1018112","PANUCO","425","6","DEL VALLE"
"1019001","RIO TAMAZUNCHALE 202","","","DEL VALLE"
"1019002","RIO MISSOURI 207","","","VALLE"
"1019003","RIO PANUCO OTE","206","","DEL VALLE"
"1019004","RIO PANUCO 208","","","DEL VALLE"
"1019005","RIO PANUCO OTE","210","","DEL VALLE"
"1019006","RIO MISSOURI OTE 211","","","DEL VALLE"
"1019007","RIO MISSOURI OTE 213","","",""
"1019008","RIO PANUCO OTE","214","","VALLE"
"1019009","RIO MISSOURI","215","","DEL VALLE"
"1019010","RIO MISSOURI OTE 217","","","DEL VALLE"
"1019011","RIO PANUCO OTE","218","","DEL VALLE"
"1019012","RIO PANUCO","220","",""
"1019013","RIO MISSOURI OTE","221","","DEL VALLE"
"1019014","RIO PANUCO 222","","","DEL VALLE"
"1019015","RIO MISSOURI 223","","","DEL VALLE"
"1019016","RIO PANUCO OTE","224","","DEL VALLE"
"1019017","RIO MISSOURI","235","","DEL VALLE"
"1019025","RIO MISSOURI OTE","201","","DEL VALLE"
"1019026","RIO MISSOURI","203","",""
"1019027","RIO MISSOURI 205","","","DEL VALLE"
"1019028","RIO MISSOURI","219","","DEL VALLE"
"1019029","RIO MISSOURI OTE 209","","",""
"1019030","RIO PANUCO OTE 216","","","DEL VALLE"
"1019031","RIO PANUCO OTE","212","","DEL VALLE"
"1019032","RIO PANUCO OTE","208","","DEL CALLE"
"1019034","RIO MISSOURI 219-A","","","DEL VALLE"
"1019101","RIO MOCTEZUMA","226","DEPT 708","DEL VALLE"
"1019102","RIO MOCTEZUMA","226","DEP 706","DEL VALLE"
"1019103","RIO PANUCO","226","","DEL VALLE"
"1019104","RIO PANUCO","226","A","DEL VALLE"
"1020001","RIO MISSOURI OTE","303","","DEL VALLE"
"1020002","RIO PANUCO OTE","302","","DEL VALLE"
"1020003","RIO MISSOURI 305","","",""
"1020004","RIO PANUCO","308","",""
"1020005","RIO MISSOURI OTE 307","","","DEL VALLE"
"1020006","RIO MISSOURI OTE","315","A","DEL VALLE"
"1020007","RIO PANUCO","314","","DEL VALLE"
"1020008","RIO PANUCO","324","","DEL VALLE"
